Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior,Name
28.0,Female,1,Copywriter,2.0,40000.0,USA,White,0,Female_20
32.0,Male,1,Account Manager,5.0,75000.0,Australia,Asian,0,Male_27
45.0,Female,2,Director of Marketing,16.0,180000.0,UK,Welsh,0,Female_21
38.0,Male,3,Scientist,11.0,120000.0,Australia,Asian,1,Male_28
25.0,Male,1,Help Desk Analyst,0.0,35000.0,USA,Asian,0,Male_29
51.0,Female,1,Customer Service Manager,22.0,130000.0,China,Korean,0,Female_22
33.0,Male,2,Business Intelligence Analyst,7.0,85000.0,Australia,Australian,0,Male_30
40.0,Female,1,Event Coordinator,12.0,60000.0,China,White,0,Female_23
47.0,Male,2,VP of Finance,19.0,200000.0,Australia,Asian,0,Male_31
29.0,Female,1,Graphic Designer,3.0,50000.0,Canada,Black,0,Female_24
36.0,Male,1,Sales Manager,9.0,95000.0,China,Korean,0,Male_32
27.0,Female,2,UX Researcher,2.0,65000.0,Canada,White,0,Female_25
43.0,Male,3,Engineer,17.0,140000.0,USA,Hispanic,1,Male_33
30.0,Female,1,Social Media Manager,4.0,55000.0,Canada,White,0,Female_26
35.0,Male,2,Product Manager,7.0,105000.0,Canada,Asian,0,Male_34
51.0,Female,2,Director of Operations,23.0,170000.0,USA,African American,0,Female_27
29.0,Male,1,Marketing Analyst,3.0,50000.0,China,Chinese,0,Male_35
40.0,Female,1,HR Manager,12.0,80000.0,China,Korean,0,Female_28
47.0,Male,3,Data Scientist,21.0,180000.0,China,White,1,Male_36
26.0,Male,1,Accountant,1.0,35000.0,Australia,Australian,0,Male_37
38.0,Female,2,Digital Marketing Manager,10.0,90000.0,China,Korean,0,Female_29
46.0,Male,1,IT Manager,19.0,120000.0,Australia,Australian,0,Male_38
31.0,Female,1,Customer Service Representative,5.0,45000.0,Canada,Asian,0,Female_30
34.0,Male,2,Business Development Manager,8.0,90000.0,Canada,Asian,0,Male_39
49.0,Female,2,Financial Analyst,18.0,150000.0,Canada,White,1,Female_31
33.0,Male,1,Web Developer,6.0,65000.0,USA,Hispanic,0,Male_40
39.0,Female,1,Recruiter,11.0,70000.0,USA,Asian,0,Female_32
45.0,Male,3,Research Director,16.0,190000.0,UK,Mixed,0,Male_41
28.0,Male,1,Technical Support Specialist,2.0,40000.0,China,Korean,0,Male_42
42.0,Female,2,Creative Director,14.0,120000.0,Canada,Black,0,Female_33
37.0,Male,1,Project Manager,10.0,95000.0,USA,Asian,0,Male_43
50.0,Female,1,Operations Manager,22.0,160000.0,USA,White,0,Female_34
32.0,Male,2,Software Engineer,6.0,100000.0,USA,African American,1,Male_44
48.0,Female,2,Human Resources Director,20.0,180000.0,Canada,Black,0,Female_35
30.0,Female,1,Content Marketing Manager,3.0,55000.0,Australia,White,0,Female_36
36.0,Male,1,Technical Recruiter,8.0,70000.0,UK,Asian,0,Male_45
41.0,Female,2,Data Analyst,13.0,80000.0,USA,White,0,Female_37
25.0,Male,1,Sales Representative,0.0,30000.0,Australia,Asian,0,Male_46
52.0,Male,3,Chief Technology Officer,24.0,250000.0,Canada,Black,0,Male_47
29.0,Female,1,Designer,2.0,40000.0,Australia,Asian,0,Female_38
34.0,Female,2,Financial Advisor,10.0,95000.0,UK,White,0,Female_39
27.0,Male,1,Account Manager,2.0,45000.0,Canada,White,0,Male_48
40.0,Female,1,HR Generalist,15.0,80000.0,USA,Hispanic,0,Female_40
46.0,Male,2,Project Manager,21.0,135000.0,Canada,Asian,1,Male_49
31.0,Female,1,Marketing Coordinator,6.0,55000.0,Australia,Asian,0,Female_41
36.0,Male,3,Principal Scientist,11.0,120000.0,UK,Mixed,0,Male_50
29.0,Female,1,Sales Associate,3.0,40000.0,China,White,0,Female_42
43.0,Male,1,Supply Chain Manager,18.0,105000.0,UK,Welsh,0,Male_51
52.0,Female,2,Marketing Manager,25.0,170000.0,China,Chinese,1,Female_43
33.0,Male,1,Business Analyst,7.0,75000.0,Australia,Australian,0,Male_52
39.0,Female,1,Training Specialist,12.0,65000.0,USA,African American,0,Female_44
47.0,Male,3,Research Scientist,22.0,160000.0,Australia,Asian,0,Male_53
26.0,Male,1,Software Developer,1.0,35000.0,China,White,0,Male_54
38.0,Female,2,Public Relations Manager,10.0,90000.0,UK,Asian,0,Female_45
45.0,Male,1,Operations Analyst,20.0,110000.0,China,Chinese,0,Male_55
31.0,Female,1,Event Coordinator,5.0,45000.0,Australia,Asian,0,Female_46
35.0,Male,2,Product Marketing Manager,8.0,95000.0,China,White,0,Male_56
49.0,Female,2,HR Manager,19.0,150000.0,Australia,White,1,Female_47
33.0,Male,1,Web Developer,5.0,50000.0,Canada,Asian,0,Male_57
39.0,Female,2,Project Coordinator,13.0,80000.0,UK,Welsh,1,Female_48
44.0,Male,3,Chief Data Officer,16.0,220000.0,USA,African American,0,Male_58
30.0,Female,1,Digital Content Producer,3.0,50000.0,UK,White,0,Female_49
36.0,Male,1,IT Support Specialist,7.0,60000.0,USA,Asian,0,Male_59
41.0,Female,2,Marketing Analyst,14.0,100000.0,USA,White,1,Female_50
28.0,Male,1,Customer Success Manager,2.0,40000.0,USA,Hispanic,0,Male_60
42.0,Female,2,Graphic Designer,15.0,110000.0,USA,Asian,1,Female_51
37.0,Male,1,Software Project Manager,9.0,95000.0,UK,White,0,Male_61
50.0,Female,1,Supply Chain Analyst,22.0,130000.0,UK,Welsh,0,Female_52
32.0,Male,2,Business Analyst,6.0,90000.0,USA,Asian,1,Male_62
23.0,Female,1,Marketing Analyst,0.5,35000.0,USA,White,0,Female_53
31.0,Male,2,Financial Analyst,6.0,95000.0,Australia,Asian,1,Male_63
40.0,Female,1,Office Manager,15.0,65000.0,USA,White,0,Female_54
48.0,Male,3,Principal Engineer,20.0,170000.0,USA,Hispanic,0,Male_64
29.0,Female,1,HR Generalist,3.0,45000.0,Australia,Australian,0,Female_55
35.0,Male,2,Product Manager,10.0,120000.0,Canada,White,1,Male_65
42.0,Female,1,Sales Manager,17.0,100000.0,China,Korean,0,Female_56
53.0,Male,2,Director of Marketing,25.0,180000.0,UK,Mixed,0,Male_66
33.0,Female,1,Operations Analyst,5.0,50000.0,Australia,Australian,0,Female_57
38.0,Male,1,Customer Service Manager,11.0,80000.0,China,White,0,Male_67
44.0,Female,3,Scientist,16.0,140000.0,UK,Mixed,1,Female_58
26.0,Male,1,Accountant,2.0,40000.0,UK,White,0,Male_68
37.0,Female,2,HR Generalist,9.0,95000.0,USA,African American,1,Female_59
45.0,Male,1,Sales Operations Manager,18.0,110000.0,UK,White,0,Male_69
32.0,Female,1,Marketing Coordinator,4.0,50000.0,USA,White,0,Female_60
34.0,Male,2,Software Developer,8.0,105000.0,Canada,White,1,Male_70
50.0,Female,2,Director of Operations,21.0,160000.0,UK,White,0,Female_61
29.0,Male,1,Web Designer,3.0,45000.0,China,White,0,Male_71
40.0,Female,2,Training Specialist,12.0,100000.0,Canada,Black,1,Female_62
47.0,Male,3,Research Scientist,22.0,160000.0,USA,Hispanic,1,Male_72
27.0,Male,1,Sales Representative,1.0,35000.0,UK,Mixed,0,Male_73
39.0,Female,1,Administrative Assistant,10.0,55000.0,Canada,Black,0,Female_63
46.0,Male,2,Project Manager,19.0,140000.0,Canada,Black,1,Male_74
30.0,Female,1,Marketing Manager,4.0,50000.0,Canada,White,0,Female_64
36.0,Male,1,Data Analyst,7.0,60000.0,Australia,Asian,0,Male_75
43.0,Female,2,Product Marketing Manager,14.0,120000.0,Australia,White,1,Female_65
28.0,Male,1,Business Analyst,2.0,40000.0,USA,White,0,Male_76
41.0,Female,2,Marketing Manager,13.0,110000.0,Australia,Australian,1,Female_66
33.0,Male,1,Software Developer,5.0,50000.0,USA,Hispanic,0,Male_77
47.0,Male,1,Sales Manager,20.0,135000.0,China,White,1,Male_78
25.0,Female,2,Marketing Specialist,1.5,40000.0,Australia,Asian,0,Female_67
34.0,Male,1,Business Analyst,8.0,90000.0,Australia,Asian,1,Male_79
42.0,Female,3,Data Scientist,16.0,150000.0,China,Chinese,1,Female_68
31.0,Male,1,Project Manager,4.0,60000.0,UK,Welsh,0,Male_80
38.0,Female,1,Accountant,10.0,80000.0,USA,African American,1,Female_69
45.0,Male,2,Director of Sales,19.0,175000.0,Canada,Black,0,Male_81
29.0,Female,1,Recruiter,3.0,45000.0,Australia,Australian,0,Female_70
36.0,Male,2,Business Development Manager,11.0,120000.0,Canada,Black,1,Male_82
43.0,Female,3,Product Designer,18.0,140000.0,Australia,Asian,1,Female_71
26.0,Male,1,Customer Support Specialist,2.0,35000.0,USA,Asian,0,Male_83
37.0,Female,2,Marketing Analyst,9.0,95000.0,Canada,White,1,Female_72
44.0,Male,1,IT Support Specialist,14.0,110000.0,USA,African American,1,Male_84
32.0,Female,1,Financial Analyst,5.0,50000.0,USA,Asian,0,Female_73
33.0,Male,2,Operations Manager,7.0,115000.0,China,Korean,1,Male_85
51.0,Female,3,Director of Human Resources,23.0,185000.0,China,Chinese,0,Female_74
28.0,Male,1,Software Engineer,2.0,40000.0,Australia,White,0,Male_86
39.0,Female,1,Sales Representative,12.0,90000.0,USA,Asian,1,Female_75
48.0,Male,2,Director of Product Management,21.0,175000.0,USA,Asian,0,Male_87
30.0,Female,1,Copywriter,3.0,45000.0,UK,Mixed,0,Female_76
35.0,Male,1,Marketing Coordinator,7.0,80000.0,China,White,1,Male_88
41.0,Female,2,Human Resources Manager,13.0,120000.0,China,Korean,1,Female_77
27.0,Male,1,Business Development Associate,1.5,35000.0,China,White,0,Male_89
40.0,Female,1,Account Manager,14.0,110000.0,Australia,Australian,1,Female_78
46.0,Male,3,Researcher,18.0,150000.0,Canada,Black,1,Male_90
31.0,Female,1,HR Coordinator,4.0,50000.0,China,Korean,0,Female_79
34.0,Male,2,Software Engineer,9.0,105000.0,China,Korean,1,Male_91
50.0,Female,2,Director of Finance,20.0,180000.0,Australia,Australian,0,Female_80
29.0,Male,1,Marketing Coordinator,2.0,40000.0,Canada,Asian,0,Male_92
43.0,Male,1,Project Manager,16.0,140000.0,UK,White,1,Male_93
26.0,Female,2,Data Scientist,1.5,45000.0,Canada,Asian,0,Female_81
35.0,Male,1,Operations Analyst,7.0,85000.0,China,White,1,Male_94
42.0,Female,3,Marketing Manager,18.0,140000.0,UK,Asian,1,Female_82
31.0,Male,1,Accountant,4.0,50000.0,UK,Welsh,0,Male_95
38.0,Female,1,Human Resources Coordinator,10.0,80000.0,UK,Asian,1,Female_83
46.0,Male,2,Director of Operations,20.0,170000.0,USA,Asian,0,Male_96
29.0,Female,1,Sales Representative,2.0,40000.0,UK,Welsh,0,Female_84
37.0,Male,2,Business Analyst,9.0,105000.0,China,Chinese,1,Male_97
44.0,Female,3,UX Designer,15.0,145000.0,USA,Hispanic,1,Female_85
27.0,Male,1,Product Manager,2.0,40000.0,USA,Hispanic,0,Male_98
36.0,Female,1,Marketing Specialist,8.0,85000.0,USA,African American,1,Female_86
43.0,Male,1,IT Project Manager,14.0,130000.0,China,Chinese,1,Male_99
33.0,Female,2,Financial Analyst,6.0,95000.0,Canada,White,1,Female_87
34.0,Male,1,Quality Assurance Analyst,9.0,100000.0,UK,Mixed,1,Male_100
50.0,Female,3,Director of Sales and Marketing,22.0,180000.0,China,Korean,0,Female_88
28.0,Male,1,Operations Analyst,1.5,35000.0,UK,Welsh,0,Male_101
39.0,Female,1,Account Executive,12.0,95000.0,USA,African American,1,Female_89
47.0,Male,2,Director of Business Development,19.0,170000.0,Australia,Asian,0,Male_102
30.0,Female,1,Social Media Manager,3.0,45000.0,Australia,Australian,0,Female_90
34.0,Male,1,Product Manager,7.0,95000.0,China,Chinese,1,Male_103
40.0,Female,2,Human Resources Specialist,13.0,120000.0,UK,Welsh,1,Female_91
28.0,Male,1,Business Analyst,2.0,40000.0,USA,African American,0,Male_104
41.0,Female,1,Marketing Coordinator,11.0,90000.0,Canada,Asian,1,Female_92
45.0,Male,3,Data Analyst,17.0,155000.0,UK,Asian,1,Male_105
32.0,Female,1,Account Manager,5.0,55000.0,Australia,Asian,0,Female_93
35.0,Male,2,Software Developer,9.0,110000.0,Canada,Asian,1,Male_106
49.0,Female,2,Director of Human Capital,21.0,180000.0,UK,Mixed,0,Female_94
30.0,Male,1,Advertising Coordinator,3.0,45000.0,UK,White,0,Male_107
44.0,Male,1,Sales Manager,16.0,130000.0,USA,Asian,1,Male_108
27.0,Female,2,UX Designer,1.5,45000.0,USA,Hispanic,0,Female_95
36.0,Male,1,Accountant,7.0,90000.0,Canada,White,1,Male_109
41.0,Female,3,Marketing Director,17.0,160000.0,UK,Mixed,1,Female_96
31.0,Male,1,HR Generalist,4.0,50000.0,China,Chinese,0,Male_110
39.0,Female,1,Operations Manager,10.0,120000.0,Australia,Asian,1,Female_97
47.0,Male,2,Director of Finance,20.0,170000.0,Australia,Australian,0,Male_111
30.0,Female,1,Marketing Coordinator,2.0,40000.0,China,Korean,0,Female_98
38.0,Male,2,IT Consultant,9.0,110000.0,China,White,1,Male_112
45.0,Female,3,Product Designer,15.0,150000.0,China,Chinese,1,Female_99
28.0,Male,1,Business Development Associate,2.0,40000.0,USA,Asian,0,Male_113
35.0,Female,1,Marketing Analyst,8.0,85000.0,USA,White,1,Female_100
44.0,Male,1,Software Engineer,14.0,130000.0,China,Chinese,1,Male_114
34.0,Female,2,Financial Advisor,6.0,100000.0,UK,Welsh,1,Female_101
35.0,Male,1,Project Coordinator,9.0,95000.0,Canada,White,1,Male_115
50.0,Female,3,Director of Operations,22.0,180000.0,Australia,Australian,0,Female_102
29.0,Male,1,Business Operations Analyst,1.5,35000.0,UK,Asian,0,Male_116
40.0,Female,1,Sales Representative,12.0,100000.0,China,Chinese,1,Female_103
48.0,Male,2,Director of Marketing,19.0,170000.0,USA,Hispanic,0,Male_117
31.0,Female,1,Social Media Specialist,3.0,45000.0,UK,Welsh,0,Female_104
33.0,Male,1,Product Development Manager,7.0,100000.0,USA,Hispanic,1,Male_118
42.0,Female,2,Human Resources Manager,13.0,140000.0,China,White,1,Female_105
28.0,Male,1,Financial Analyst,2.0,40000.0,Australia,Australian,0,Male_119
40.0,Female,1,Marketing Manager,11.0,105000.0,UK,White,1,Female_106
46.0,Male,3,Data Scientist,18.0,160000.0,Canada,White,1,Male_120
33.0,Female,1,Operations Manager,5.0,70000.0,Australia,Asian,0,Female_107
37.0,Male,2,Software Architect,9.0,120000.0,Australia,Australian,1,Male_121
51.0,Female,2,Director of Human Resources,21.0,190000.0,USA,Hispanic,0,Female_108
30.0,Male,1,Marketing Specialist,3.0,45000.0,Canada,Black,0,Male_122
43.0,Male,1,Project Manager,15.0,120000.0,Canada,Asian,1,Male_123
27.0,Female,2,Research Scientist,1.5,50000.0,China,White,0,Female_109
35.0,Male,1,Operations Analyst,8.0,85000.0,Canada,White,1,Male_124
42.0,Female,3,Marketing Manager,13.0,140000.0,Canada,White,1,Female_110
32.0,Male,1,Sales Representative,3.0,45000.0,Australia,White,0,Male_125
37.0,Female,1,Financial Analyst,9.0,100000.0,UK,Welsh,1,Female_111
45.0,Male,2,Software Developer,16.0,140000.0,Australia,Asian,1,Male_126
33.0,Female,1,Operations Analyst,5.0,70000.0,Canada,Asian,0,Female_112
39.0,Male,1,Marketing Specialist,10.0,120000.0,Canada,Black,1,Male_127
44.0,Female,3,HR Manager,18.0,160000.0,Canada,White,1,Female_113
29.0,Male,1,Business Analyst,1.5,40000.0,Australia,Australian,0,Male_128
38.0,Female,1,Product Manager,10.0,120000.0,China,Korean,1,Female_114
46.0,Male,3,Data Analyst,19.0,150000.0,UK,Asian,1,Male_129
34.0,Female,1,Marketing Analyst,6.0,70000.0,USA,Asian,0,Female_115
36.0,Male,1,Operations Manager,8.0,95000.0,USA,White,1,Male_130
49.0,Female,2,Director of Marketing,21.0,180000.0,Canada,White,0,Female_116
31.0,Male,1,Financial Analyst,3.0,50000.0,Canada,Black,0,Male_131
41.0,Female,1,Project Coordinator,11.0,95000.0,USA,African American,1,Female_117
47.0,Male,2,Director of Operations,20.0,170000.0,Canada,White,0,Male_132
30.0,Female,1,Marketing Coordinator,2.0,40000.0,USA,White,0,Female_118
38.0,Male,2,IT Consultant,9.0,110000.0,Australia,Australian,1,Male_133
45.0,Female,3,Product Designer,15.0,150000.0,China,Korean,1,Female_119
28.0,Male,1,Business Development Associate,2.0,40000.0,USA,Asian,0,Male_134
35.0,Female,1,Marketing Analyst,8.0,85000.0,Canada,White,1,Female_120
44.0,Male,1,Software Engineer,14.0,130000.0,Australia,Australian,1,Male_135
34.0,Female,2,Financial Advisor,6.0,100000.0,Australia,Australian,1,Female_121
35.0,Male,1,Project Coordinator,9.0,95000.0,UK,Asian,1,Male_136
50.0,Female,3,Director of Operations,22.0,180000.0,Australia,White,0,Female_122
29.0,Male,1,Business Operations Analyst,1.5,350.0,USA,Hispanic,0,Male_137
37.0,Female,1,Financial Manager,10.0,120000.0,USA,African American,1,Female_123
46.0,Male,3,Data Scientist,18.0,160000.0,China,Chinese,1,Male_138
31.0,Female,1,Marketing Coordinator,3.0,50000.0,Australia,White,0,Female_124
42.0,Male,1,Operations Manager,12.0,110000.0,Canada,Black,1,Male_139
29.0,Female,1,Sales Representative,1.5,40000.0,USA,African American,0,Female_125
36.0,Male,1,Marketing Specialist,8.0,95000.0,UK,White,1,Male_140
44.0,Female,2,HR Specialist,15.0,140000.0,China,Chinese,1,Female_126
33.0,Male,1,Operations Manager,4.0,60000.0,China,Korean,0,Male_141
39.0,Female,1,Marketing Coordinator,9.0,110000.0,China,White,1,Female_127
45.0,Male,3,Data Engineer,16.0,150000.0,Australia,Asian,1,Male_142
32.0,Female,1,Marketing Manager,4.0,60000.0,UK,Welsh,0,Female_128
37.0,Male,1,Financial Analyst,8.0,90000.0,Australia,Australian,1,Male_143
47.0,Female,2,Director of Marketing,20.0,180000.0,UK,Mixed,0,Female_129
30.0,Male,1,Business Analyst,2.0,40000.0,Australia,Australian,0,Male_144
38.0,Female,1,Project Manager,9.0,120000.0,UK,Asian,1,Female_130
46.0,Male,3,Data Analyst,17.0,160000.0,UK,Asian,1,Male_145
34.0,Female,1,Financial Analyst,5.0,70000.0,UK,Mixed,0,Female_131
36.0,Male,1,Product Manager,8.0,95000.0,Australia,Asian,1,Male_146
49.0,Female,2,Director of Operations,21.0,180000.0,UK,Mixed,0,Female_132
31.0,Male,1,Operations Analyst,3.0,50000.0,USA,Hispanic,0,Male_147
41.0,Female,1,Project Coordinator,11.0,95000.0,Canada,Black,1,Female_133
47.0,Male,2,Director of Marketing,19.0,170000.0,Canada,White,0,Male_148
29.0,Female,1,Business Development Associate,1.5,35000.0,Australia,White,0,Female_134
35.0,Male,1,Financial Manager,9.0,100000.0,Canada,White,1,Male_149
44.0,Female,3,Product Designer,15.0,150000.0,China,White,1,Female_135
33.0,Male,1,Business Analyst,4.0,60000.0,Canada,Black,0,Male_150
35.0,Female,1,Marketing Analyst,8.0,85000.0,China,Chinese,1,Female_136
44.0,Male,1,Software Engineer,13.0,130000.0,Canada,White,1,Male_151
32.0,Male,1,Product Manager,4.0,65000.0,China,Chinese,0,Male_152
38.0,Female,1,Business Analyst,10.0,110000.0,Australia,Asian,1,Female_137
49.0,Male,3,Director of Operations,21.0,180000.0,USA,Asian,0,Male_153
29.0,Female,1,Marketing Specialist,2.0,40000.0,Australia,Australian,0,Female_138
35.0,Male,1,Business Development Manager,7.0,90000.0,USA,Hispanic,1,Male_154
45.0,Female,2,HR Manager,14.0,140000.0,UK,Welsh,1,Female_139
33.0,Male,1,Financial Analyst,4.0,60000.0,China,Korean,0,Male_155
40.0,Female,1,Marketing Manager,12.0,130000.0,Australia,Asian,1,Female_140
44.0,Male,3,Data Scientist,16.0,160000.0,Australia,Asian,1,Male_156
30.0,Female,1,Operations Coordinator,2.0,40000.0,Australia,White,0,Female_141
37.0,Male,1,Marketing Analyst,9.0,100000.0,UK,Mixed,1,Male_157
48.0,Female,2,Director of HR,20.0,180000.0,USA,Hispanic,0,Female_142
31.0,Male,1,Project Manager,3.0,55000.0,Canada,Black,0,Male_158
38.0,Female,1,Operations Coordinator,9.0,120000.0,Canada,Asian,1,Female_143
45.0,Male,3,Data Engineer,16.0,150000.0,Canada,Black,1,Male_159
33.0,Female,1,Marketing Manager,5.0,70000.0,UK,Mixed,0,Female_144
36.0,Male,1,Business Analyst,8.0,95000.0,China,Chinese,1,Male_160
49.0,Female,2,Director of Marketing,21.0,180000.0,China,White,0,Female_145
31.0,Male,1,Operations Analyst,3.0,50000.0,Canada,Black,0,Male_161
42.0,Female,1,Project Manager,12.0,120000.0,Australia,White,1,Female_146
47.0,Male,2,Director of Marketing,19.0,170000.0,UK,White,0,Male_162
29.0,Female,1,Business Development Associate,1.5,35000.0,Australia,White,0,Female_147
35.0,Male,1,Financial Manager,9.0,100000.0,Australia,Asian,1,Male_163
44.0,Female,3,Product Designer,15.0,150000.0,Australia,Asian,1,Female_148
33.0,Male,1,Business Analyst,4.0,60000.0,UK,White,0,Male_164
35.0,Female,1,Marketing Analyst,8.0,85000.0,Canada,Black,1,Female_149
44.0,Male,1,Software Engineer,13.0,130000.0,Australia,White,1,Male_165
34.0,Female,2,Financial Advisor,6.0,80000.0,Canada,White,1,Female_150
36.0,Male,1,Marketing Specialist,8.0,95000.0,Canada,White,1,Male_166
30.0,Female,1,HR Coordinator,2.0,40000.0,UK,Welsh,0,Female_151
37.0,Male,1,Business Development Manager,10.0,120000.0,China,Chinese,1,Male_167
45.0,Female,2,Marketing Manager,16.0,160000.0,Canada,Black,1,Female_152
32.0,Male,1,Financial Advisor,4.0,65000.0,USA,Hispanic,0,Male_168
39.0,Female,1,Project Manager,12.0,130000.0,Canada,White,1,Female_153
47.0,Male,3,Director of Engineering,20.0,180000.0,China,White,0,Male_169
29.0,Female,1,Marketing Analyst,2.0,40000.0,Australia,Australian,0,Female_154
36.0,Male,1,Operations Manager,9.0,100000.0,UK,Asian,1,Male_170
43.0,Female,3,Data Scientist,15.0,150000.0,USA,African American,1,Female_155
32.0,Male,1,Marketing Coordinator,3.0,55000.0,Canada,White,0,Male_171
38.0,Female,1,Business Analyst,10.0,110000.0,China,White,1,Female_156
48.0,Male,2,Director of Marketing,21.0,180000.0,China,Chinese,0,Male_172
31.0,Female,1,Business Development Associate,3.0,50000.0,China,Korean,0,Female_157
40.0,Male,1,Financial Analyst,12.0,130000.0,Australia,White,1,Male_173
45.0,Female,3,UX Designer,16.0,160000.0,Australia,Asian,1,Female_158
33.0,Male,1,Product Manager,4.0,60000.0,Canada,Asian,0,Male_174
36.0,Female,1,Marketing Manager,8.0,95000.0,China,Korean,1,Female_159
47.0,Male,2,Director of Operations,19.0,170000.0,China,Chinese,0,Male_175
29.0,Female,1,Project Manager,2.0,40000.0,UK,Mixed,0,Female_160
34.0,Male,1,Operations Coordinator,7.0,90000.0,UK,Asian,1,Male_176
44.0,Female,3,Business Analyst,15.0,150000.0,UK,White,1,Female_161
33.0,Male,1,Marketing Specialist,5.0,70000.0,UK,Welsh,0,Male_177
35.0,Female,1,Financial Manager,8.0,90000.0,Australia,White,1,Female_162
43.0,Male,2,Director of Marketing,18.0,170000.0,China,Korean,0,Male_178
31.0,Female,1,Financial Analyst,3.0,50000.0,UK,Asian,0,Female_163
41.0,Male,1,Product Manager,14.0,150000.0,Canada,White,1,Male_179
44.0,Female,3,Data Engineer,16.0,160000.0,Canada,Asian,1,Female_164
33.0,Male,1,Business Analyst,4.0,60000.0,Canada,Black,0,Male_180
35.0,Female,1,Marketing Analyst,8.0,85000.0,Canada,Asian,1,Female_165
45.0,Male,2,Director of Engineering,19.0,180000.0,China,Chinese,0,Male_181
28.0,Female,1,Operations Manager,1.0,35000.0,Canada,Asian,0,Female_166
36.0,Male,1,Business Development Manager,8.0,110000.0,USA,Asian,1,Male_182
44.0,Female,3,Data Scientist,16.0,160000.0,China,Chinese,1,Female_167
31.0,Male,1,Marketing Coordinator,3.0,55000.0,Canada,Black,0,Male_183
38.0,Female,1,Business Analyst,10.0,110000.0,Canada,Black,1,Female_168
48.0,Male,2,Director of Marketing,21.0,180000.0,Canada,Asian,0,Male_184
31.0,Female,1,Business Development Associate,3.0,50000.0,Canada,Black,0,Female_169
